,ID,composer,condition,name,response_value
31,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,chopin,scrambled,dynamism,2.0
32,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,chopin,scrambled,dynamism,4.0
33,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,chopin,scrambled,affect,4.0
34,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,chopin,scrambled,strangeness,0.0
35,A8028AFBBS29G:38F5OAUN5OOKVAACHTQPG7HIW9I7HC,chopin,scrambled,coherence,1.0
36,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,enjoyment,3.0
37,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,desire-to-own,4.0
38,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,strangeness,1.0
39,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,strangeness,0.0
40,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,affect,1.0
41,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,affect,1.0
42,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,dynamism,0.0
43,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,expressiveness,4.0
44,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,coherence,4.0
45,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,expressiveness,3.0
46,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,dynamism,1.0
47,A3CWEIEY3TGJFX:3PB5A5BD0WI6VEF1XN87V75HH957GD,bach,forward,coherence,4.0
48,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,enjoyment,3.0
49,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,desire-to-own,1.0
50,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,dynamism,1.0
51,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,coherence,2.0
52,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,expressiveness,2.0
53,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,expressiveness,3.0
54,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,strangeness,3.0
55,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,affect,3.0
56,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,strangeness,1.0
57,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,coherence,1.0
58,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,dynamism,2.0
59,A3180VXVP8MOIH:3QY5DC2MXSW2FPV2ZBV0NEJPO52UF3,chopin,forward,affect,4.0
60,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,enjoyment,3.0
61,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,desire-to-own,2.0
62,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,expressiveness,4.0
63,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,coherence,4.0
64,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,dynamism,3.0
65,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,expressiveness,3.0
66,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,affect,3.0
67,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,affect,4.0
68,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,coherence,4.0
69,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,dynamism,3.0
70,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,strangeness,0.0
71,A1G69P73SBVUR4:3S3AMIZX3VH9VB06MEFA58UY5SGCD1,chopin,reversed,strangeness,1.0
72,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,enjoyment,2.0
73,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,desire-to-own,0.0
74,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,strangeness,0.0
75,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,dynamism,4.0
76,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,coherence,3.0
77,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,strangeness,1.0
78,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,affect,2.0
79,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,affect,1.0
80,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,coherence,4.0
81,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,expressiveness,2.0
82,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,expressiveness,3.0
83,A2OXTS31LD48BC:3YZ8UPK3VUYVCDBS895ZF8YMRSAUCS,bach,reversed,dynamism,0.0
84,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,enjoyment,3.0
85,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,desire-to-own,2.0
86,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,strangeness,1.0
87,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,expressiveness,3.0
88,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,expressiveness,3.0
89,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,dynamism,2.0
90,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,coherence,4.0
91,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,coherence,4.0
92,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,affect,2.0
93,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,affect,2.0
94,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,dynamism,1.0
95,A27QBYDLN5V11F:3DL65MZB8ERENHE6I9QUBQCJ54HCE,chopin,reversed,strangeness,1.0
96,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,enjoyment,2.0
97,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,desire-to-own,2.0
98,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,coherence,1.0
99,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,dynamism,4.0
100,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,affect,2.0
101,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,dynamism,2.0
102,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,expressiveness,3.0
103,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,coherence,2.0
104,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,affect,1.0
105,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,strangeness,3.0
106,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,expressiveness,1.0
107,ABL3H3O3BI8ZD:3VNXK88KKDUTRUTP1F5D94ZXZEH9VG,bach,scrambled,strangeness,2.0
108,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,enjoyment,3.0
109,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,desire-to-own,1.0
110,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,expressiveness,4.0
111,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,expressiveness,3.0
112,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,coherence,4.0
113,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,affect,1.0
114,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,dynamism,1.0
115,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,dynamism,2.0
116,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,coherence,4.0
117,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,affect,2.0
118,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,strangeness,0.0
119,A16G6PPH1INQL8:36H9ULYP636T19K8NCRMGCAE7P5FJT,chopin,scrambled,strangeness,0.0
120,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,enjoyment,4.0
121,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,desire-to-own,4.0
122,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,dynamism,2.0
123,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,dynamism,1.0
124,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,coherence,4.0
125,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,expressiveness,2.0
126,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,coherence,4.0
127,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,strangeness,0.0
128,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,affect,3.0
129,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,expressiveness,2.0
130,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,strangeness,0.0
131,A3CMRD0ZMKYWJS:3WJ1OXY92BS9L17HLS83DLQ9UYY8AP,bach,reversed,affect,2.0
132,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,enjoyment,3.0
133,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,desire-to-own,3.0
134,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,affect,1.0
135,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,expressiveness,1.0
136,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,strangeness,1.0
137,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,dynamism,3.0
138,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,expressiveness,3.0
139,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,strangeness,2.0
140,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,dynamism,2.0
141,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,affect,2.0
142,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,coherence,1.0
143,A3SD02HCW68EUL:3K3R2QNK8CFTEF4PWPV8DIXEL789,chopin,forward,coherence,2.0
144,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,enjoyment,4.0
145,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,desire-to-own,3.0
146,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,affect,4.0
147,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,affect,4.0
148,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,strangeness,1.0
149,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,coherence,2.0
150,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,dynamism,4.0
151,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,coherence,1.0
152,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,strangeness,0.0
153,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,expressiveness,4.0
154,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,dynamism,4.0
155,A1GSIR59HGF3SZ:3R6P78PK7LNTTCC8AQB803XZ66WGTY,chopin,scrambled,expressiveness,4.0
156,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,enjoyment,2.0
157,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,desire-to-own,1.0
158,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,strangeness,4.0
159,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,affect,4.0
160,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,affect,2.0
161,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,strangeness,1.0
162,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,dynamism,4.0
163,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,coherence,4.0
164,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,coherence,2.0
165,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,dynamism,2.0
166,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,expressiveness,2.0
167,ANEWGC5Y2V8GG:3BF51CHDTWM6DZASWU5G1S7VOVC0H5,chopin,reversed,expressiveness,2.0
168,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,enjoyment,3.0
169,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,desire-to-own,2.0
170,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,affect,3.0
171,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,coherence,3.0
172,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,coherence,3.0
173,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,expressiveness,3.0
174,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,strangeness,0.0
175,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,dynamism,2.0
176,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,expressiveness,3.0
177,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,strangeness,1.0
178,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,affect,2.0
179,A3D61CCA0LVMWV:3XCC1ODXDMN7QMTU9XBPU20JO87RQQ,bach,reversed,dynamism,3.0
180,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,enjoyment,4.0
181,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,desire-to-own,0.0
182,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,expressiveness,4.0
183,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,dynamism,3.0
184,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,affect,0.0
185,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,affect,1.0
186,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,dynamism,4.0
187,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,strangeness,1.0
188,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,expressiveness,4.0
189,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,coherence,4.0
190,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,coherence,4.0
191,A1ZUUNIIJSDJBG:3TMSXRD2X7COHEQZNCVGG00S8BV1W9,bach,forward,strangeness,3.0
192,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,enjoyment,3.0
193,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,desire-to-own,1.0
194,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,expressiveness,1.0
195,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,expressiveness,1.0
196,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,coherence,3.0
197,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,affect,3.0
198,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,strangeness,0.0
199,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,strangeness,1.0
200,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,dynamism,1.0
201,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,dynamism,2.0
202,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,affect,4.0
203,A30KYQGABO7JER:39GAF6DQWSCB2PQUX2QKUYHE12T1VZ,bach,forward,coherence,2.0
204,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,enjoyment,4.0
205,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,desire-to-own,3.0
206,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,strangeness,3.0
207,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,affect,3.0
208,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,expressiveness,4.0
209,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,dynamism,3.0
210,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,coherence,4.0
211,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,strangeness,1.0
212,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,affect,4.0
213,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,coherence,4.0
214,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,expressiveness,4.0
215,AVPCUQOQEPTCI:3GA6AFUKOP02UR9PFHNZ3Q52R7Y3H5,chopin,reversed,dynamism,3.0
216,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,enjoyment,3.0
217,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,desire-to-own,3.0
218,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,strangeness,1.0
219,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,expressiveness,3.0
220,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,dynamism,1.0
221,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,affect,3.0
222,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,strangeness,0.0
223,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,affect,3.0
224,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,coherence,3.0
225,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,expressiveness,3.0
226,A3VTOW7WLPTBRR:3GS6S824SR9RVLXOSZTED7DVBC2NW5,bach,scrambled,dynamism,1.0
